workerid,proliferate.condition,exposure8Resp,error
394,Condition.56_M_L_A_Sh_01_B_1_1,"exposure8,0,0,Critical_Ash.Flourishing.M.L_As.Arkansas.F.R.wav,88,non-word,1677457240601,1677457242435,1834,,false;exposure8,1,4,Filler_W.Illuminate.F.L_N.Niritaly.M.R.wav,88,non-word,1677457243452,1677457245830,2378,,false;exposure8,2,2,Filler_N.Nomerae.F.L_W.Hamburger.M.R.wav,77,word,1677457246846,1677457248463,1617,,false;exposure8,3,3,Filler_N.Nempring.M.L_W.Identical.F.R.wav,88,non-word,1677457249474,1677457251663,2189,,false;exposure8,4,1,Critical_S.Eraser.M.L_Sh.Publisher.F.R.wav,77,word,1677457252672,1677457254414,1742,,false;exposure8,5,6,Filler_N.Bamtell.M.L_W.Tactical.F.R.wav,88,non-word,1677457255425,1677457257066,1641,,false;exposure8,6,5,Filler_N.Baliber.F.L_W.Purgatory.M.R.wav,77,word,1677457258076,1677457259767,1691,,false;exposure8,7,7,Filler_W.Terminal.F.L_N.Bowidai.M.R.wav,88,non-word,1677457260783,1677457262334,1551,,false;",
391,Condition.62_M_L_A_Sh_05_B_0_1,"exposure8,0,1,Critical_S.Embassy.M.L_Sh.Negotiate.F.R.wav,88,word,1677435664903,1677435668278,3375,,false;exposure8,1,2,Filler_N.Tilegkalo.F.L_W.Camera.M.R.wav,88,word,1677435669286,1677435671307,2021,,false;exposure8,2,6,Filler_N.Ibirak.M.L_W.Negate.F.R.wav,77,non-word,1677435672319,1677435673788,1469,,false;exposure8,3,7,Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav,77,non-word,1677435674799,1677435676676,1877,,false;exposure8,4,0,Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav,88,word,1677435677696,1677435679622,1926,,false;exposure8,5,3,Filler_N.Ryligal.M.L_W.Continually.F.R.wav,77,non-word,1677435680630,1677435682223,1593,,false;exposure8,6,4,Filler_W.Domineering.F.L_N.Tamical.M.R.wav,77,non-word,1677435683230,1677435684921,1691,,false;exposure8,7,5,Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav,88,word,1677435685940,1677435687820,1880,,false;",
