Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Lingering.M.L_N.Inpaki.F.R.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Membrane.F.L_N.Aknid.M.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Metrical.F.R_N.Halomimoc.M.L.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Melancholy.M.L_N.Hintarber.F.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Negate.F.L_N.Ibirak.M.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Nightmare.F.R_N.Gerbualo.M.L.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Napkin.M.L_N.Gardimuallay.F.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Outnumber.F.L_N.Halken.M.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Panicking.F.R_N.Galliwinou.M.L.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Ornament.M.L_N.Gairelom.F.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Parakeet.F.L_N.Ganla.M.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Pilgrim.F.R_N.Emhoutic.M.L.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Pineapple.M.L_N.Bikanian.F.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Platonic.F.L_N.Dadigal.M.R.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Predict.F.R_N.Dilkuaund.M.L.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Purgatory.M.L_N.Baliber.F.R.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Tactical.F.L_N.Bamtell.M.R.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Terminal.F.R_N.Bowidai.M.L.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Therapeutic.M.L_N.Amalar.F.R.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Titanium.F.L_N.Anemer.M.R.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Turbulent.F.R_N.Anolipa.M.L.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Tutorial.M.L_N.Ailounam.F.R.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Umbrella.F.L_N.Lilgrai.M.R.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Undermine.F.R_N.Alnadiro.M.L.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Male,Left,Female,Right,01,1,Filler_02_A.1_W.Wealthy.M.L_N.Acomining.F.R.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_02_B.2_W.Worldly.F.L_N.Admunker.M.R.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_02_C.3_W.Wrinkle.F.R_N.Aigi.M.L.wav
