Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,reps,feedback,filename
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Gullible.M.R_N.Pourilar.F.L.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Gardenia.F.L_N.Perkum.M.R.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Grammatical.M.L_N.Omperoge.F.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Honeymoon.M.R_N.Almikquary.F.L.wav
Exposure,Filler,1,7,Hamburger,Set A,Word,Nomerae,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Hamburger.F.L_N.Nomerae.M.R.wav
Exposure,Filler,1,7,Identical,Set B,Word,Nempring,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Identical.M.L_N.Nempring.F.R.wav
Exposure,Filler,1,7,Illuminate,Set C,Word,Niritaly,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Illuminate.M.R_N.Niritaly.F.L.wav
Exposure,Filler,1,8,Hurdle,Set A,Word,Namuary,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Hurdle.F.L_N.Namuary.M.R.wav
Exposure,Filler,1,8,Interior,Set B,Word,Mibgem,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Interior.M.L_N.Mibgem.F.R.wav
Exposure,Filler,1,8,Ironic,Set C,Word,Makid,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Ironic.M.R_N.Makid.F.L.wav
Exposure,Filler,1,9,Inhabit,Set A,Word,Logelai,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Inhabit.F.L_N.Logelai.M.R.wav
Exposure,Filler,1,9,Knowingly,Set B,Word,Meidnow,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Knowingly.M.L_N.Meidnow.F.R.wav
Exposure,Filler,1,9,Laminate,Set C,Word,Kaldemia,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Laminate.M.R_N.Kaldemia.F.L.wav
Exposure,Filler,1,10,Keyboard,Set A,Word,Lenediaw,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Keyboard.F.L_N.Lenediaw.M.R.wav
Exposure,Filler,1,10,Lethal,Set B,Word,Kermimer,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Lethal.M.L_N.Kermimer.F.R.wav
Exposure,Filler,1,10,Liability,Set C,Word,Imdalier,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Liability.M.R_N.Imdalier.F.L.wav
Exposure,Filler,1,11,Lengthen,Set A,Word,Kelabidel,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Lengthen.F.L_N.Kelabidel.M.R.wav
Exposure,Filler,1,11,Lobbying,Set B,Word,Itempider,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Lobbying.M.L_N.Itempider.F.R.wav
Exposure,Filler,1,11,Marina,Set C,Word,Kloumidiger,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Marina.M.R_N.Kloumidiger.F.L.wav
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Lingering.F.L_N.Inpaki.M.R.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Membrane.M.L_N.Aknid.F.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Metrical.M.R_N.Halomimoc.F.L.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Melancholy.F.L_N.Hintarber.M.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Negate.M.L_N.Ibirak.F.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Nightmare.M.R_N.Gerbualo.F.L.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Napkin.F.L_N.Gardimuallay.M.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Outnumber.M.L_N.Halken.F.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Panicking.M.R_N.Galliwinou.F.L.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Ornament.F.L_N.Gairelom.M.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Parakeet.M.L_N.Ganla.F.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Pilgrim.M.R_N.Emhoutic.F.L.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Pineapple.F.L_N.Bikanian.M.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Platonic.M.L_N.Dadigal.F.R.wav
