Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Membrane.M.L_N.Aknid.F.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Metrical.M.R_N.Halomimoc.F.L.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Melancholy.F.R_N.Hintarber.M.L.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Negate.M.L_N.Ibirak.F.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Nightmare.M.R_N.Gerbualo.F.L.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Napkin.F.R_N.Gardimuallay.M.L.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Outnumber.M.L_N.Halken.F.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Panicking.M.R_N.Galliwinou.F.L.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Ornament.F.R_N.Gairelom.M.L.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Parakeet.M.L_N.Ganla.F.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Pilgrim.M.R_N.Emhoutic.F.L.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Pineapple.F.R_N.Bikanian.M.L.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Platonic.M.L_N.Dadigal.F.R.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Predict.M.R_N.Dilkuaund.F.L.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Purgatory.F.R_N.Baliber.M.L.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Tactical.M.L_N.Bamtell.F.R.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Terminal.M.R_N.Bowidai.F.L.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Therapeutic.F.R_N.Amalar.M.L.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Titanium.M.L_N.Anemer.F.R.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Turbulent.M.R_N.Anolipa.F.L.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Tutorial.F.R_N.Ailounam.M.L.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Umbrella.M.L_N.Lilgrai.F.R.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Undermine.M.R_N.Alnadiro.F.L.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Female,Right,Male,Left,03,1,Filler_A.03_W.Wealthy.F.R_N.Acomining.M.L.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Male,Left,Female,Right,04,1,Filler_B.04_W.Worldly.M.L_N.Admunker.F.R.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Male,Right,Female,Left,01,1,Filler_C.01_W.Wrinkle.M.R_N.Aigi.F.L.wav
