Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Membrane.M.R_N.Aknid.F.L.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Metrical.M.L_N.Halomimoc.F.R.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Melancholy.F.L_N.Hintarber.M.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Negate.M.R_N.Ibirak.F.L.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Nightmare.M.L_N.Gerbualo.F.R.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Napkin.F.L_N.Gardimuallay.M.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Outnumber.M.R_N.Halken.F.L.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Panicking.M.L_N.Galliwinou.F.R.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Ornament.F.L_N.Gairelom.M.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Parakeet.M.R_N.Ganla.F.L.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Pilgrim.M.L_N.Emhoutic.F.R.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Pineapple.F.L_N.Bikanian.M.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Platonic.M.R_N.Dadigal.F.L.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Predict.M.L_N.Dilkuaund.F.R.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Purgatory.F.L_N.Baliber.M.R.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Tactical.M.R_N.Bamtell.F.L.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Terminal.M.L_N.Bowidai.F.R.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Therapeutic.F.L_N.Amalar.M.R.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Titanium.M.R_N.Anemer.F.L.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Turbulent.M.L_N.Anolipa.F.R.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Tutorial.F.L_N.Ailounam.M.R.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Umbrella.M.R_N.Lilgrai.F.L.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Undermine.M.L_N.Alnadiro.F.R.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Female,Left,Male,Right,02,1,Filler_A.02_W.Wealthy.F.L_N.Acomining.M.R.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Male,Right,Female,Left,01,1,Filler_B.01_W.Worldly.M.R_N.Admunker.F.L.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Male,Left,Female,Right,04,1,Filler_C.04_W.Wrinkle.M.L_N.Aigi.F.R.wav
