Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Membrane.F.R_N.Aknid.M.L.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Metrical.F.L_N.Halomimoc.M.R.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Melancholy.M.L_N.Hintarber.F.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Negate.F.R_N.Ibirak.M.L.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Nightmare.F.L_N.Gerbualo.M.R.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Napkin.M.L_N.Gardimuallay.F.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Outnumber.F.R_N.Halken.M.L.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Panicking.F.L_N.Galliwinou.M.R.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Ornament.M.L_N.Gairelom.F.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Parakeet.F.R_N.Ganla.M.L.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Pilgrim.F.L_N.Emhoutic.M.R.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Pineapple.M.L_N.Bikanian.F.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Platonic.F.R_N.Dadigal.M.L.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Predict.F.L_N.Dilkuaund.M.R.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Purgatory.M.L_N.Baliber.F.R.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Tactical.F.R_N.Bamtell.M.L.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Terminal.F.L_N.Bowidai.M.R.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Therapeutic.M.L_N.Amalar.F.R.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Titanium.F.R_N.Anemer.M.L.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Turbulent.F.L_N.Anolipa.M.R.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Tutorial.M.L_N.Ailounam.F.R.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Umbrella.F.R_N.Lilgrai.M.L.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Undermine.F.L_N.Alnadiro.M.R.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Male,Left,Female,Right,04,1,Filler_A.04_W.Wealthy.M.L_N.Acomining.F.R.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Female,Right,Male,Left,03,1,Filler_B.03_W.Worldly.F.R_N.Admunker.M.L.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Female,Left,Male,Right,02,1,Filler_C.02_W.Wrinkle.F.L_N.Aigi.M.R.wav
