Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,A,B,Talker,reps,feedback,filename
Exposure,Filler,1,1,America,Set A,Word,Wominid,Set A,Nonword,Male,Right,Female,Left,04,W.America.M.R,N.Wominid.F.L,2,1,FALSE,Critical_N.Wominid.F.L_W.America.M.R.wav
Exposure,Filler,1,1,Bakery,Set B,Word,Wojalto,Set B,Nonword,Female,Right,Male,Left,03,W.Bakery.F.R,N.Wojalto.M.L,2,1,FALSE,Critical_N.Wojalto.M.L_W.Bakery.F.R.wav
Exposure,Filler,1,1,Ballerina,Set C,Word,Youmgel,Set C,Nonword,Female,Left,Male,Right,02,W.Ballerina.F.L,N.Youmgel.M.R,1,1,FALSE,Critical_W.Ballerina.F.L_N.Youmgel.M.R.wav
Exposure,Filler,1,2,Blueberry,Set A,Word,Ungelnin,Set A,Nonword,Male,Right,Female,Left,04,W.Blueberry.M.R,N.Ungelnin.F.L,2,1,FALSE,Critical_N.Ungelnin.F.L_W.Blueberry.M.R.wav
Exposure,Filler,1,2,Bullying,Set B,Word,Tounamplem,Set B,Nonword,Female,Right,Male,Left,03,W.Bullying.F.R,N.Tounamplem.M.L,2,1,FALSE,Critical_N.Tounamplem.M.L_W.Bullying.F.R.wav
Exposure,Filler,1,2,Burglary,Set C,Word,Tymolape,Set C,Nonword,Female,Left,Male,Right,02,W.Burglary.F.L,N.Tymolape.M.R,1,1,FALSE,Critical_W.Burglary.F.L_N.Tymolape.M.R.wav
Exposure,Filler,1,3,Camera,Set A,Word,Tilegkalo,Set A,Nonword,Male,Right,Female,Left,04,W.Camera.M.R,N.Tilegkalo.F.L,2,1,FALSE,Critical_N.Tilegkalo.F.L_W.Camera.M.R.wav
Exposure,Filler,1,3,Continually,Set B,Word,Ryligal,Set B,Nonword,Female,Right,Male,Left,03,W.Continually.F.R,N.Ryligal.M.L,2,1,FALSE,Critical_N.Ryligal.M.L_W.Continually.F.R.wav
Exposure,Filler,1,3,Domineering,Set C,Word,Tamical,Set C,Nonword,Female,Left,Male,Right,02,W.Domineering.F.L,N.Tamical.M.R,1,1,FALSE,Critical_W.Domineering.F.L_N.Tamical.M.R.wav
Exposure,Filler,1,4,Directory,Set A,Word,Rimkeluwar,Set A,Nonword,Male,Right,Female,Left,04,W.Directory.M.R,N.Rimkeluwar.F.L,2,1,FALSE,Critical_N.Rimkeluwar.F.L_W.Directory.M.R.wav
Exposure,Filler,1,4,Document,Set B,Word,Rawamtee,Set B,Nonword,Female,Right,Male,Left,03,W.Document.F.R,N.Rawamtee.M.L,2,1,FALSE,Critical_N.Rawamtee.M.L_W.Document.F.R.wav
Exposure,Filler,1,4,Embody,Set C,Word,Rengime,Set C,Nonword,Female,Left,Male,Right,02,W.Embody.F.L,N.Rengime.M.R,1,1,FALSE,Critical_W.Embody.F.L_N.Rengime.M.R.wav
Exposure,Filler,1,5,Dynamite,Set A,Word,Rakil,Set A,Nonword,Male,Right,Female,Left,04,W.Dynamite.M.R,N.Rakil.F.L,2,1,FALSE,Critical_N.Rakil.F.L_W.Dynamite.M.R.wav
Exposure,Filler,1,5,Eighty,Set B,Word,Ploupelai,Set B,Nonword,Female,Right,Male,Left,03,W.Eighty.F.R,N.Ploupelai.M.L,2,1,FALSE,Critical_N.Ploupelai.M.L_W.Eighty.F.R.wav
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Female,Left,Male,Right,02,W.Gullible.F.L,N.Pourilar.M.R,1,1,FALSE,Critical_W.Gullible.F.L_N.Pourilar.M.R.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Male,Right,Female,Left,04,W.Gardenia.M.R,N.Perkum.F.L,2,1,FALSE,Critical_N.Perkum.F.L_W.Gardenia.M.R.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Female,Right,Male,Left,03,W.Grammatical.F.R,N.Omperoge.M.L,2,1,FALSE,Critical_N.Omperoge.M.L_W.Grammatical.F.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Female,Left,Male,Right,02,W.Honeymoon.F.L,N.Almikquary.M.R,1,1,FALSE,Critical_W.Honeymoon.F.L_N.Almikquary.M.R.wav
Exposure,Filler,1,7,Hamburger,Set A,Word,Nomerae,Set A,Nonword,Male,Right,Female,Left,04,W.Hamburger.M.R,N.Nomerae.F.L,2,1,FALSE,Critical_N.Nomerae.F.L_W.Hamburger.M.R.wav
Exposure,Filler,1,7,Identical,Set B,Word,Nempring,Set B,Nonword,Female,Right,Male,Left,03,W.Identical.F.R,N.Nempring.M.L,2,1,FALSE,Critical_N.Nempring.M.L_W.Identical.F.R.wav
Exposure,Filler,1,7,Illuminate,Set C,Word,Niritaly,Set C,Nonword,Female,Left,Male,Right,02,W.Illuminate.F.L,N.Niritaly.M.R,1,1,FALSE,Critical_W.Illuminate.F.L_N.Niritaly.M.R.wav
Exposure,Filler,1,8,Hurdle,Set A,Word,Namuary,Set A,Nonword,Male,Right,Female,Left,04,W.Hurdle.M.R,N.Namuary.F.L,2,1,FALSE,Critical_N.Namuary.F.L_W.Hurdle.M.R.wav
Exposure,Filler,1,8,Interior,Set B,Word,Mibgem,Set B,Nonword,Female,Right,Male,Left,03,W.Interior.F.R,N.Mibgem.M.L,2,1,FALSE,Critical_N.Mibgem.M.L_W.Interior.F.R.wav
Exposure,Filler,1,8,Ironic,Set C,Word,Makid,Set C,Nonword,Female,Left,Male,Right,02,W.Ironic.F.L,N.Makid.M.R,1,1,FALSE,Critical_W.Ironic.F.L_N.Makid.M.R.wav
Exposure,Filler,1,9,Inhabit,Set A,Word,Logelai,Set A,Nonword,Male,Right,Female,Left,04,W.Inhabit.M.R,N.Logelai.F.L,2,1,FALSE,Critical_N.Logelai.F.L_W.Inhabit.M.R.wav
Exposure,Filler,1,9,Knowingly,Set B,Word,Meidnow,Set B,Nonword,Female,Right,Male,Left,03,W.Knowingly.F.R,N.Meidnow.M.L,2,1,FALSE,Critical_N.Meidnow.M.L_W.Knowingly.F.R.wav
Exposure,Filler,1,9,Laminate,Set C,Word,Kaldemia,Set C,Nonword,Female,Left,Male,Right,02,W.Laminate.F.L,N.Kaldemia.M.R,1,1,FALSE,Critical_W.Laminate.F.L_N.Kaldemia.M.R.wav
Exposure,Filler,1,10,Keyboard,Set A,Word,Lenediaw,Set A,Nonword,Male,Right,Female,Left,04,W.Keyboard.M.R,N.Lenediaw.F.L,2,1,FALSE,Critical_N.Lenediaw.F.L_W.Keyboard.M.R.wav
Exposure,Filler,1,10,Lethal,Set B,Word,Kermimer,Set B,Nonword,Female,Right,Male,Left,03,W.Lethal.F.R,N.Kermimer.M.L,2,1,FALSE,Critical_N.Kermimer.M.L_W.Lethal.F.R.wav
Exposure,Filler,1,10,Liability,Set C,Word,Imdalier,Set C,Nonword,Female,Left,Male,Right,02,W.Liability.F.L,N.Imdalier.M.R,1,1,FALSE,Critical_W.Liability.F.L_N.Imdalier.M.R.wav
Exposure,Filler,1,11,Lengthen,Set A,Word,Kelabidel,Set A,Nonword,Male,Right,Female,Left,04,W.Lengthen.M.R,N.Kelabidel.F.L,2,1,FALSE,Critical_N.Kelabidel.F.L_W.Lengthen.M.R.wav
Exposure,Filler,1,11,Lobbying,Set B,Word,Itempider,Set B,Nonword,Female,Right,Male,Left,03,W.Lobbying.F.R,N.Itempider.M.L,2,1,FALSE,Critical_N.Itempider.M.L_W.Lobbying.F.R.wav
Exposure,Filler,1,11,Marina,Set C,Word,Kloumidiger,Set C,Nonword,Female,Left,Male,Right,02,W.Marina.F.L,N.Kloumidiger.M.R,1,1,FALSE,Critical_W.Marina.F.L_N.Kloumidiger.M.R.wav
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Male,Right,Female,Left,04,W.Lingering.M.R,N.Inpaki.F.L,2,1,FALSE,Critical_N.Inpaki.F.L_W.Lingering.M.R.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Female,Right,Male,Left,03,W.Membrane.F.R,N.Aknid.M.L,2,1,FALSE,Critical_N.Aknid.M.L_W.Membrane.F.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Female,Left,Male,Right,02,W.Metrical.F.L,N.Halomimoc.M.R,1,1,FALSE,Critical_W.Metrical.F.L_N.Halomimoc.M.R.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Male,Right,Female,Left,04,W.Melancholy.M.R,N.Hintarber.F.L,2,1,FALSE,Critical_N.Hintarber.F.L_W.Melancholy.M.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Female,Right,Male,Left,03,W.Negate.F.R,N.Ibirak.M.L,2,1,FALSE,Critical_N.Ibirak.M.L_W.Negate.F.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Female,Left,Male,Right,02,W.Nightmare.F.L,N.Gerbualo.M.R,1,1,FALSE,Critical_W.Nightmare.F.L_N.Gerbualo.M.R.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Male,Right,Female,Left,04,W.Napkin.M.R,N.Gardimuallay.F.L,2,1,FALSE,Critical_N.Gardimuallay.F.L_W.Napkin.M.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Female,Right,Male,Left,03,W.Outnumber.F.R,N.Halken.M.L,2,1,FALSE,Critical_N.Halken.M.L_W.Outnumber.F.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Female,Left,Male,Right,02,W.Panicking.F.L,N.Galliwinou.M.R,1,1,FALSE,Critical_W.Panicking.F.L_N.Galliwinou.M.R.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Male,Right,Female,Left,04,W.Ornament.M.R,N.Gairelom.F.L,2,1,FALSE,Critical_N.Gairelom.F.L_W.Ornament.M.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Female,Right,Male,Left,03,W.Parakeet.F.R,N.Ganla.M.L,2,1,FALSE,Critical_N.Ganla.M.L_W.Parakeet.F.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Female,Left,Male,Right,02,W.Pilgrim.F.L,N.Emhoutic.M.R,1,1,FALSE,Critical_W.Pilgrim.F.L_N.Emhoutic.M.R.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Male,Right,Female,Left,04,W.Pineapple.M.R,N.Bikanian.F.L,2,1,FALSE,Critical_N.Bikanian.F.L_W.Pineapple.M.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Female,Right,Male,Left,03,W.Platonic.F.R,N.Dadigal.M.L,2,1,FALSE,Critical_N.Dadigal.M.L_W.Platonic.F.R.wav
