Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,5,Gullible,Set C,Word,Pourilar,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Gullible.F.R_N.Pourilar.M.L.wav
Exposure,Filler,1,6,Gardenia,Set A,Word,Perkum,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Gardenia.M.R_N.Perkum.F.L.wav
Exposure,Filler,1,6,Grammatical,Set B,Word,Omperoge,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Grammatical.F.L_N.Omperoge.M.R.wav
Exposure,Filler,1,6,Honeymoon,Set C,Word,Almikquary,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Honeymoon.F.R_N.Almikquary.M.L.wav
Exposure,Filler,1,7,Hamburger,Set A,Word,Nomerae,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Hamburger.M.R_N.Nomerae.F.L.wav
Exposure,Filler,1,7,Identical,Set B,Word,Nempring,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Identical.F.L_N.Nempring.M.R.wav
Exposure,Filler,1,7,Illuminate,Set C,Word,Niritaly,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Illuminate.F.R_N.Niritaly.M.L.wav
Exposure,Filler,1,8,Hurdle,Set A,Word,Namuary,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Hurdle.M.R_N.Namuary.F.L.wav
Exposure,Filler,1,8,Interior,Set B,Word,Mibgem,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Interior.F.L_N.Mibgem.M.R.wav
Exposure,Filler,1,8,Ironic,Set C,Word,Makid,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Ironic.F.R_N.Makid.M.L.wav
Exposure,Filler,1,9,Inhabit,Set A,Word,Logelai,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Inhabit.M.R_N.Logelai.F.L.wav
Exposure,Filler,1,9,Knowingly,Set B,Word,Meidnow,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Knowingly.F.L_N.Meidnow.M.R.wav
Exposure,Filler,1,9,Laminate,Set C,Word,Kaldemia,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Laminate.F.R_N.Kaldemia.M.L.wav
Exposure,Filler,1,10,Keyboard,Set A,Word,Lenediaw,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Keyboard.M.R_N.Lenediaw.F.L.wav
Exposure,Filler,1,10,Lethal,Set B,Word,Kermimer,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Lethal.F.L_N.Kermimer.M.R.wav
Exposure,Filler,1,10,Liability,Set C,Word,Imdalier,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Liability.F.R_N.Imdalier.M.L.wav
Exposure,Filler,1,11,Lengthen,Set A,Word,Kelabidel,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Lengthen.M.R_N.Kelabidel.F.L.wav
Exposure,Filler,1,11,Lobbying,Set B,Word,Itempider,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Lobbying.F.L_N.Itempider.M.R.wav
Exposure,Filler,1,11,Marina,Set C,Word,Kloumidiger,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Marina.F.R_N.Kloumidiger.M.L.wav
Exposure,Filler,1,12,Lingering,Set A,Word,Inpaki,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Lingering.M.R_N.Inpaki.F.L.wav
Exposure,Filler,1,12,Membrane,Set B,Word,Aknid,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Membrane.F.L_N.Aknid.M.R.wav
Exposure,Filler,1,12,Metrical,Set C,Word,Halomimoc,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Metrical.F.R_N.Halomimoc.M.L.wav
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Melancholy.M.R_N.Hintarber.F.L.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Negate.F.L_N.Ibirak.M.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Nightmare.F.R_N.Gerbualo.M.L.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Napkin.M.R_N.Gardimuallay.F.L.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Outnumber.F.L_N.Halken.M.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Panicking.F.R_N.Galliwinou.M.L.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Ornament.M.R_N.Gairelom.F.L.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Parakeet.F.L_N.Ganla.M.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Pilgrim.F.R_N.Emhoutic.M.L.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Pineapple.M.R_N.Bikanian.F.L.wav
