Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
C,8,Ironic,Makid,Male,Left,Female,Right,4,1,Filler_C.04_W.Ironic.M.L_N.Makid.F.R.wav
C,9,Laminate,Kaldemia,Male,Left,Female,Right,4,1,Filler_C.04_W.Laminate.M.L_N.Kaldemia.F.R.wav
C,10,Liability,Imdalier,Male,Left,Female,Right,4,1,Filler_C.04_W.Liability.M.L_N.Imdalier.F.R.wav
C,11,Marina,Kloumidiger,Male,Left,Female,Right,4,1,Filler_C.04_W.Marina.M.L_N.Kloumidiger.F.R.wav
C,12,Metrical,Halomimoc,Male,Left,Female,Right,4,1,Filler_C.04_W.Metrical.M.L_N.Halomimoc.F.R.wav
C,13,Nightmare,Gerbualo,Male,Left,Female,Right,4,1,Filler_C.04_W.Nightmare.M.L_N.Gerbualo.F.R.wav
C,14,Panicking,Galliwinou,Male,Left,Female,Right,4,1,Filler_C.04_W.Panicking.M.L_N.Galliwinou.F.R.wav
C,15,Pilgrim,Emhoutic,Male,Left,Female,Right,4,1,Filler_C.04_W.Pilgrim.M.L_N.Emhoutic.F.R.wav
C,16,Predict,Dilkuaund,Male,Left,Female,Right,4,1,Filler_C.04_W.Predict.M.L_N.Dilkuaund.F.R.wav
C,17,Terminal,Bowidai,Male,Left,Female,Right,4,1,Filler_C.04_W.Terminal.M.L_N.Bowidai.F.R.wav
C,18,Turbulent,Anolipa,Male,Left,Female,Right,4,1,Filler_C.04_W.Turbulent.M.L_N.Anolipa.F.R.wav
C,19,Undermine,Alnadiro,Male,Left,Female,Right,4,1,Filler_C.04_W.Undermine.M.L_N.Alnadiro.F.R.wav
C,20,Wrinkle,Aigi,Male,Left,Female,Right,4,1,Filler_C.04_W.Wrinkle.M.L_N.Aigi.F.R.wav
