Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Parasite.M.L_A_Ash.Ambition.F.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Obscene.M.L_A_Ash.Machinery.F.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Medicine.M.L_A_Ash.Brochure.F.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Tennessee.M.L_A_Ash.Official.F.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Penninsula.M.L_A_Ash.Crucial.F.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Hallucinate.M.L_A_Ash.Pediatrician.F.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Arkansas.M.L_A_Ash.Flourishing.F.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Compensate.M.L_A_Ash.Reassure.F.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Dinosaur.M.L_A_Ash.Graduation.F.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Shifted,Female,Right,Male,Left,Critical_06.B_As.Rehearsal.M.L_A_Ash.Vacation.F.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Initial.M.L_B_S.Pregnancy.F.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Beneficial.M.L_B_S.Democracy.F.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Negotiate.M.L_B_S.Embassy.F.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Commercial.M.L_B_S.Legacy.F.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Parachute.M.L_B_S.Reconcile.F.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Efficient.M.L_B_S.Personal.F.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Publisher.M.L_B_S.Eraser.F.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Glacier.M.L_B_S.Episode.F.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Refreshing.M.L_B_S.Literacy.F.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Unshifted,Female,Right,Male,Left,Critical_06.A_Sh.Impatient.M.L_B_S.Coliseum.F.R.wav,1
