Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
C,8,Ironic,Makid,Female,Right,Male,Left,03,1,Filler_C.03_W.Ironic.F.R_N.Makid.M.L.wav
C,9,Laminate,Kaldemia,Female,Right,Male,Left,03,1,Filler_C.03_W.Laminate.F.R_N.Kaldemia.M.L.wav
C,10,Liability,Imdalier,Female,Right,Male,Left,03,1,Filler_C.03_W.Liability.F.R_N.Imdalier.M.L.wav
C,11,Marina,Kloumidiger,Female,Right,Male,Left,03,1,Filler_C.03_W.Marina.F.R_N.Kloumidiger.M.L.wav
C,12,Metrical,Halomimoc,Female,Right,Male,Left,03,1,Filler_C.03_W.Metrical.F.R_N.Halomimoc.M.L.wav
C,13,Nightmare,Gerbualo,Female,Right,Male,Left,03,1,Filler_C.03_W.Nightmare.F.R_N.Gerbualo.M.L.wav
C,14,Panicking,Galliwinou,Female,Right,Male,Left,03,1,Filler_C.03_W.Panicking.F.R_N.Galliwinou.M.L.wav
C,15,Pilgrim,Emhoutic,Female,Right,Male,Left,03,1,Filler_C.03_W.Pilgrim.F.R_N.Emhoutic.M.L.wav
C,16,Predict,Dilkuaund,Female,Right,Male,Left,03,1,Filler_C.03_W.Predict.F.R_N.Dilkuaund.M.L.wav
C,17,Terminal,Bowidai,Female,Right,Male,Left,03,1,Filler_C.03_W.Terminal.F.R_N.Bowidai.M.L.wav
C,18,Turbulent,Anolipa,Female,Right,Male,Left,03,1,Filler_C.03_W.Turbulent.F.R_N.Anolipa.M.L.wav
C,19,Undermine,Alnadiro,Female,Right,Male,Left,03,1,Filler_C.03_W.Undermine.F.R_N.Alnadiro.M.L.wav
C,20,Wrinkle,Aigi,Female,Right,Male,Left,03,1,Filler_C.03_W.Wrinkle.F.R_N.Aigi.M.L.wav
