Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Ambition.F.L_B_S.Parasite.M.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Machinery.F.L_B_S.Obscene.M.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Brochure.F.L_B_S.Medicine.M.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Official.F.L_B_S.Tennessee.M.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Crucial.F.L_B_S.Penninsula.M.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Pediatrician.F.L_B_S.Hallucinate.M.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Flourishing.F.L_B_S.Arkansas.M.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Reassure.F.L_B_S.Compensate.M.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Graduation.F.L_B_S.Dinosaur.M.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Unshifted,Female,Left,Male,Right,Critical_01.A_Sh.Vacation.F.L_B_S.Rehearsal.M.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Pregnancy.F.L_A_Ash.Initial.M.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Democracy.F.L_A_Ash.Beneficial.M.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Embassy.F.L_A_Ash.Negotiate.M.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Legacy.F.L_A_Ash.Commercial.M.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Reconcile.F.L_A_Ash.Parachute.M.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Personal.F.L_A_Ash.Efficient.M.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Eraser.F.L_A_Ash.Publisher.M.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Episode.F.L_A_Ash.Glacier.M.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Literacy.F.L_A_Ash.Refreshing.M.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Shifted,Female,Left,Male,Right,Critical_01.B_As.Coliseum.F.L_A_Ash.Impatient.M.R.wav,1
