Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
C,8,Ironic,Makid,Male,Right,Female,Left,01,1,Filler_C.01_W.Ironic.M.R_N.Makid.F.L.wav
C,9,Laminate,Kaldemia,Male,Right,Female,Left,01,1,Filler_C.01_W.Laminate.M.R_N.Kaldemia.F.L.wav
C,10,Liability,Imdalier,Male,Right,Female,Left,01,1,Filler_C.01_W.Liability.M.R_N.Imdalier.F.L.wav
C,11,Marina,Kloumidiger,Male,Right,Female,Left,01,1,Filler_C.01_W.Marina.M.R_N.Kloumidiger.F.L.wav
C,12,Metrical,Halomimoc,Male,Right,Female,Left,01,1,Filler_C.01_W.Metrical.M.R_N.Halomimoc.F.L.wav
C,13,Nightmare,Gerbualo,Male,Right,Female,Left,01,1,Filler_C.01_W.Nightmare.M.R_N.Gerbualo.F.L.wav
C,14,Panicking,Galliwinou,Male,Right,Female,Left,01,1,Filler_C.01_W.Panicking.M.R_N.Galliwinou.F.L.wav
C,15,Pilgrim,Emhoutic,Male,Right,Female,Left,01,1,Filler_C.01_W.Pilgrim.M.R_N.Emhoutic.F.L.wav
C,16,Predict,Dilkuaund,Male,Right,Female,Left,01,1,Filler_C.01_W.Predict.M.R_N.Dilkuaund.F.L.wav
C,17,Terminal,Bowidai,Male,Right,Female,Left,01,1,Filler_C.01_W.Terminal.M.R_N.Bowidai.F.L.wav
C,18,Turbulent,Anolipa,Male,Right,Female,Left,01,1,Filler_C.01_W.Turbulent.M.R_N.Anolipa.F.L.wav
C,19,Undermine,Alnadiro,Male,Right,Female,Left,01,1,Filler_C.01_W.Undermine.M.R_N.Alnadiro.F.L.wav
C,20,Wrinkle,Aigi,Male,Right,Female,Left,01,1,Filler_C.01_W.Wrinkle.M.R_N.Aigi.F.L.wav
