Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Parasite.F.L_A_Ash.Ambition.M.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Obscene.F.L_A_Ash.Machinery.M.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Medicine.F.L_A_Ash.Brochure.M.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Tennessee.F.L_A_Ash.Official.M.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Penninsula.F.L_A_Ash.Crucial.M.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Hallucinate.F.L_A_Ash.Pediatrician.M.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Arkansas.F.L_A_Ash.Flourishing.M.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Compensate.F.L_A_Ash.Reassure.M.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Dinosaur.F.L_A_Ash.Graduation.M.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Shifted,Male,Right,Female,Left,Critical_04.B_As.Rehearsal.F.L_A_Ash.Vacation.M.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Initial.F.L_B_S.Pregnancy.M.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Beneficial.F.L_B_S.Democracy.M.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Negotiate.F.L_B_S.Embassy.M.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Commercial.F.L_B_S.Legacy.M.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Parachute.F.L_B_S.Reconcile.M.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Efficient.F.L_B_S.Personal.M.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Publisher.F.L_B_S.Eraser.M.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Glacier.F.L_B_S.Episode.M.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Refreshing.F.L_B_S.Literacy.M.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Unshifted,Male,Right,Female,Left,Critical_04.A_Sh.Impatient.F.L_B_S.Coliseum.M.R.wav,1
