Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Parasite.F.L_A_Sh.Ambition.M.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Obscene.F.L_A_Sh.Machinery.M.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Medicine.F.L_A_Sh.Brochure.M.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Tennessee.F.L_A_Sh.Official.M.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Penninsula.F.L_A_Sh.Crucial.M.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Hallucinate.F.L_A_Sh.Pediatrician.M.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Arkansas.F.L_A_Sh.Flourishing.M.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Compensate.F.L_A_Sh.Reassure.M.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Dinosaur.F.L_A_Sh.Graduation.M.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Unshifted,Male,Right,Female,Left,Critical_03.B_S.Rehearsal.F.L_A_Sh.Vacation.M.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Initial.F.L_B_As.Pregnancy.M.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Beneficial.F.L_B_As.Democracy.M.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Negotiate.F.L_B_As.Embassy.M.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Commercial.F.L_B_As.Legacy.M.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Parachute.F.L_B_As.Reconcile.M.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Efficient.F.L_B_As.Personal.M.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Publisher.F.L_B_As.Eraser.M.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Glacier.F.L_B_As.Episode.M.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Refreshing.F.L_B_As.Literacy.M.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Shifted,Male,Right,Female,Left,Critical_03.A_Ash.Impatient.F.L_B_As.Coliseum.M.R.wav,1
