Critical.Item_Num,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,A,Sh,Parasite,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Ambition.M.L_B_S.Parasite.F.R.wav,1
2,Machinery,A,Sh,Obscene,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Machinery.M.L_B_S.Obscene.F.R.wav,1
3,Brochure,A,Sh,Medicine,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Brochure.M.L_B_S.Medicine.F.R.wav,1
4,Official,A,Sh,Tennessee,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Official.M.L_B_S.Tennessee.F.R.wav,1
5,Crucial,A,Sh,Penninsula,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Crucial.M.L_B_S.Penninsula.F.R.wav,1
6,Pediatrician,A,Sh,Hallucinate,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Pediatrician.M.L_B_S.Hallucinate.F.R.wav,1
7,Flourishing,A,Sh,Arkansas,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Flourishing.M.L_B_S.Arkansas.F.R.wav,1
8,Reassure,A,Sh,Compensate,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Reassure.M.L_B_S.Compensate.F.R.wav,1
9,Graduation,A,Sh,Dinosaur,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Graduation.M.L_B_S.Dinosaur.F.R.wav,1
10,Vacation,A,Sh,Rehearsal,B,S,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Vacation.M.L_B_S.Rehearsal.F.R.wav,1
11,Pregnancy,B,S,Initial,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Pregnancy.M.L_A_Ash.Initial.F.R.wav,1
12,Democracy,B,S,Beneficial,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Democracy.M.L_A_Ash.Beneficial.F.R.wav,1
13,Embassy,B,S,Negotiate,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Embassy.M.L_A_Ash.Negotiate.F.R.wav,1
14,Legacy,B,S,Commercial,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Legacy.M.L_A_Ash.Commercial.F.R.wav,1
15,Reconcile,B,S,Parachute,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Reconcile.M.L_A_Ash.Parachute.F.R.wav,1
16,Personal,B,S,Efficient,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Personal.M.L_A_Ash.Efficient.F.R.wav,1
17,Eraser,B,S,Publisher,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Eraser.M.L_A_Ash.Publisher.F.R.wav,1
18,Episode,B,S,Glacier,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Episode.M.L_A_Ash.Glacier.F.R.wav,1
19,Literacy,B,S,Refreshing,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Literacy.M.L_A_Ash.Refreshing.F.R.wav,1
20,Coliseum,B,S,Impatient,A,Sh,Shifted,Male,Left,Female,Right,Critical_07.B_As.Coliseum.M.L_A_Ash.Impatient.F.R.wav,1
