workerid,proliferate.condition,exposure7Resp,error
495,Condition.54_M_L_A_Sh_01_B_0_1,"exposure7,0,0,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,88,word,1678210910353,1678210912569,2216,,false;exposure7,1,1,Critical_S.Personal.M.L_Sh.Efficient.F.R.wav,88,word,1678210913577,1678210915520,1943,,false;exposure7,2,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1678210916529,1678210918673,2144,,false;exposure7,3,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1678210919684,1678210921815,2131,,false;exposure7,4,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1678210922826,1678210925502,2676,,false;exposure7,5,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,88,word,1678210926504,1678210928541,2037,,false;exposure7,6,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1678210929544,1678210932624,3080,,false;exposure7,7,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1678210933636,1678210935792,2156,,false;",
451,Condition.47_M_L_A_S_05_B_1_0,"exposure7,0,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,88,non-word,1678155655460,1678155657032,1572,,false;exposure7,1,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,88,non-word,1678155658050,1678155659776,1726,,false;exposure7,2,0,Critical_As.Obscene.M.L_Ash.Machinery.F.R.wav,77,word,1678155660781,1678155662497,1716,,false;exposure7,3,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,88,non-word,1678155663501,1678155665242,1741,,false;exposure7,4,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,77,word,1678155666252,1678155667778,1526,,false;exposure7,5,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,88,non-word,1678155668792,1678155670587,1795,,false;exposure7,6,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,77,word,1678155671592,1678155673075,1483,,false;exposure7,7,1,Critical_Sh.Beneficial.M.L_S.Democracy.F.R.wav,77,word,1678155674083,1678155676324,2241,,false;",
445,Condition.61_M_L_A_Sh_05_B_0_0,"exposure7,0,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,88,word,1678154703457,1678154704998,1541,,false;exposure7,1,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,77,non-word,1678154706014,1678154707720,1706,,false;exposure7,2,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,77,non-word,1678154708735,1678154710458,1723,,false;exposure7,3,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,77,non-word,1678154711471,1678154713502,2031,,false;exposure7,4,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,77,non-word,1678154714521,1678154716693,2172,,false;exposure7,5,1,Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav,88,word,1678154717701,1678154720164,2463,,false;exposure7,6,0,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav,88,word,1678154721174,1678154722829,1655,,false;exposure7,7,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,88,word,1678154723838,1678154725475,1637,,false;",
455,Condition.49_M_L_A_Sh_01_A_0_0,"exposure7,0,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1678208662715,1678208664620,1905,,false;exposure7,1,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1678208665621,1678208667791,2170,,false;exposure7,2,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1678208668793,1678208670361,1568,,false;exposure7,3,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,non-word,1678208671372,1678208673321,1949,,false;exposure7,4,0,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,88,word,1678208674328,1678208675916,1588,,false;exposure7,5,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1678208676927,1678208678376,1449,,false;exposure7,6,1,Critical_S.Personal.M.L_Sh.Efficient.F.R.wav,88,word,1678208679387,1678208680750,1363,,false;exposure7,7,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1678208681755,1678208683083,1328,,false;",
493,Condition.57_M_L_A_Sh_05_A_0_0,"exposure7,0,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,77,non-word,1678210717806,1678210722848,5042,,false;exposure7,1,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,77,non-word,1678210723851,1678210725904,2053,,false;exposure7,2,1,Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav,88,word,1678210726906,1678210729961,3055,,false;exposure7,3,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,77,non-word,1678210730965,1678210732802,1837,,false;exposure7,4,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,77,non-word,1678210733804,1678210735197,1393,,false;exposure7,5,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,88,word,1678210736200,1678210737612,1412,,false;exposure7,6,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,77,non-word,1678210738616,1678210739951,1335,,false;exposure7,7,0,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav,88,word,1678210740954,1678210742656,1702,,false;",
535,Condition.34_M_L_A_S_01_A_0_1,"exposure7,0,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1678211924669,1678211926142,1473,,false;exposure7,1,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,88,word,1678211927147,1678211928718,1571,,false;exposure7,2,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1678211929725,1678211931333,1608,,false;exposure7,3,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1678211932349,1678211933990,1641,,false;exposure7,4,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,non-word,1678211935006,1678211936342,1336,,false;exposure7,5,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1678211937351,1678211939086,1735,,false;exposure7,6,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1678211940089,1678211941822,1733,,false;exposure7,7,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,88,word,1678211942834,1678211945318,2484,,false;",
546,Condition.15_F_L_A_S_05_B_1_0,"exposure7,0,3,Filler_N.Tounamplem.F.L_W.Bullying.M.R.wav,88,non-word,1678212046123,1678212049547,3424,,false;exposure7,1,4,Filler_W.Burglary.M.L_N.Tymolape.F.R.wav,88,non-word,1678212050559,1678212053691,3132,,false;exposure7,2,0,Critical_As.Obscene.F.L_Ash.Machinery.M.R.wav,88,non-word,1678212054697,1678212057949,3252,,false;exposure7,3,1,Critical_Sh.Beneficial.F.L_S.Democracy.M.R.wav,77,word,1678212058967,1678212063156,4189,,false;exposure7,4,6,Filler_N.Aknid.F.L_W.Membrane.M.R.wav,88,non-word,1678212064171,1678212067286,3115,,false;exposure7,5,2,Filler_N.Ungelnin.M.L_W.Blueberry.F.R.wav,77,word,1678212068303,1678212071176,2873,,false;exposure7,6,7,Filler_W.Metrical.M.L_N.Halomimoc.F.R.wav,88,non-word,1678212072182,1678212076698,4516,,false;exposure7,7,5,Filler_N.Inpaki.M.L_W.Lingering.F.R.wav,77,word,1678212077707,1678212080795,3088,,false;",
544,Condition.58_M_L_A_Sh_05_A_0_1,"exposure7,0,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,88,word,1678211777239,1678211778688,1449,,false;exposure7,1,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,77,non-word,1678211779689,1678211781355,1666,,false;exposure7,2,1,Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav,88,word,1678211782357,1678211783965,1608,,false;exposure7,3,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,88,word,1678211784966,1678211786621,1655,,false;exposure7,4,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,77,non-word,1678211787624,1678211789312,1688,,false;exposure7,5,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,88,word,1678211790315,1678211792187,1872,,false;exposure7,6,0,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav,88,word,1678211793190,1678211795885,2695,,false;exposure7,7,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,77,non-word,1678211796887,1678211798491,1604,,false;",
501,Condition.8_F_L_A_S_01_B_1_1,"exposure7,0,5,Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav,77,word,1678211107659,1678211109363,1704,,false;exposure7,1,3,Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav,88,non-word,1678211110390,1678211112799,2409,,false;exposure7,2,0,Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav,77,word,1678211113814,1678211116080,2266,,false;exposure7,3,7,Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav,88,non-word,1678211117089,1678211119113,2024,,false;exposure7,4,4,Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav,88,non-word,1678211120128,1678211122257,2129,,false;exposure7,5,1,Critical_Sh.Efficient.F.L_S.Personal.M.R.wav,77,word,1678211123272,1678211125152,1880,,false;exposure7,6,6,Filler_N.Dadigal.F.L_W.Platonic.M.R.wav,88,non-word,1678211126163,1678211128537,2374,,false;exposure7,7,2,Filler_N.Perkum.M.L_W.Gardenia.F.R.wav,88,non-word,1678211129556,1678211131504,1948,,false;",
531,Condition.41_M_L_A_S_05_A_0_0,"exposure7,0,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,88,word,1678211526024,1678211528031,2007,,false;exposure7,1,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,77,non-word,1678211529039,1678211531007,1968,,false;exposure7,2,1,Critical_Sh.Beneficial.M.L_S.Democracy.F.R.wav,88,word,1678211532009,1678211534191,2182,,false;exposure7,3,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,77,non-word,1678211535198,1678211537439,2241,,false;exposure7,4,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,77,non-word,1678211538444,1678211540670,2226,,false;exposure7,5,0,Critical_As.Obscene.M.L_Ash.Machinery.F.R.wav,77,non-word,1678211541677,1678211544191,2514,,false;exposure7,6,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,77,non-word,1678211545208,1678211547374,2166,,false;exposure7,7,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,88,word,1678211548376,1678211550319,1943,,false;",
