...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
4,Exposure,Critical,4,Shifted,Official,Materials A,Sh,Female,Right,Tennessee,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Tennessee.M.L_Ash.Official.F.R.wav,5
14,Exposure,Critical,14,Unshifted,Legacy,Materials B,S,Female,Right,Commercial,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Commercial.M.L_S.Legacy.F.R.wav,5
30,Exposure,Filler,4,2,Directory,Set A,word,Female,Left,Rimkeluwar,Set A,non-word,Male,Right,word,1,FALSE,Filler_W.Directory.F.L_N.Rimkeluwar.M.R.wav,5
31,Exposure,Filler,4,1,Rawamtee,Set B,non-word,Female,Right,Document,Set B,word,Male,Left,non-word,1,FALSE,Filler_W.Document.M.L_N.Rawamtee.F.R.wav,5
32,Exposure,Filler,4,4,Rengime,Set C,non-word,Female,Left,Embody,Set C,word,Male,Right,non-word,1,FALSE,Filler_N.Rengime.F.L_W.Embody.M.R.wav,5
60,Exposure,Filler,14,2,Napkin,Set A,word,Female,Left,Gardimuallay,Set A,non-word,Male,Right,word,1,FALSE,Filler_W.Napkin.F.L_N.Gardimuallay.M.R.wav,5
61,Exposure,Filler,14,1,Halken,Set B,non-word,Female,Right,Outnumber,Set B,word,Male,Left,non-word,1,FALSE,Filler_W.Outnumber.M.L_N.Halken.F.R.wav,5
62,Exposure,Filler,14,4,Galliwinou,Set C,non-word,Female,Left,Panicking,Set C,word,Male,Right,non-word,1,FALSE,Filler_N.Galliwinou.F.L_W.Panicking.M.R.wav,5
